,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,HeatingQC,BsmtQual,KitchenQual,ExterQual
307,6,1406,0,0,319,1035,1,6,1920,1950,,0.0,0,4,3,1,3
308,4,861,2,539,861,861,1,4,1940,1950,1961.0,0.0,0,0,3,3,3
309,9,1944,3,708,1896,1944,2,8,2003,2004,2003.0,0.0,3,0,0,0,2
310,6,1501,2,420,697,697,2,6,1993,1994,1993.0,112.0,1,2,2,2,3
311,6,972,1,240,972,972,1,5,1948,2002,1948.0,0.0,1,0,3,3,3
312,5,1118,2,410,793,793,1,5,1939,1950,1939.0,0.0,1,4,2,3,3
313,7,2036,2,513,2136,2036,2,8,1965,1965,1965.0,0.0,2,4,2,3,3
314,7,1641,2,546,728,832,1,6,1925,1990,1925.0,0.0,1,0,3,0,3
315,7,1432,2,432,716,716,2,6,2004,2005,2004.0,0.0,1,0,2,2,2
316,7,2353,2,484,845,1153,2,10,1980,1980,1983.0,278.0,1,4,2,0,2
317,8,1959,3,1025,1088,1088,2,8,2006,2006,2006.0,0.0,1,0,2,2,2
318,7,2646,3,656,1347,1372,2,9,1993,1993,1993.0,256.0,1,0,2,2,2
319,7,1472,2,588,1372,1472,2,6,1980,1980,1980.0,225.0,2,4,2,3,3
320,9,2596,3,840,1249,1249,3,9,2006,2006,2006.0,370.0,0,0,0,2,3
321,8,2468,3,872,1136,1136,2,10,2004,2004,2004.0,388.0,1,0,0,2,2
322,7,2730,2,576,1502,1553,2,8,1986,1987,1987.0,172.0,1,0,3,2,2
323,3,1163,1,220,1162,1163,1,6,1955,2005,1955.0,0.0,0,0,3,3,3
324,7,2978,2,564,710,1898,2,11,1967,2007,1961.0,300.0,1,0,2,2,2
325,5,803,2,360,720,803,1,5,1941,1950,1941.0,0.0,0,3,3,3,3
326,8,1719,2,473,1719,1719,1,6,1993,1993,1993.0,0.0,2,0,2,2,2
327,6,1383,1,292,1383,1383,1,7,1960,1960,1960.0,175.0,0,4,3,3,3
328,6,2134,2,441,844,1445,2,10,1916,1994,1930.0,0.0,0,2,3,2,3
329,5,1192,1,189,596,596,1,6,1920,1950,1920.0,0.0,0,4,3,3,3
330,5,1728,1,352,1728,1728,2,10,1964,1964,2002.0,84.0,0,4,3,3,3
331,5,1056,1,308,1056,1056,1,6,1958,1992,1958.0,0.0,0,1,3,3,3
332,8,1629,3,880,3206,1629,2,7,2003,2004,2003.0,296.0,1,0,2,2,2
333,7,1358,2,484,1358,1358,2,6,2004,2004,2004.0,146.0,1,0,2,2,2
334,6,1638,2,472,943,943,2,7,1998,1998,1998.0,0.0,2,2,2,3,3
335,5,1786,2,529,1499,1619,2,7,1965,1965,1965.0,0.0,2,0,3,3,3
336,9,1922,3,676,1922,1922,2,8,2005,2006,2005.0,200.0,1,0,0,2,2
337,7,1536,2,532,1536,1536,2,7,2002,2003,2002.0,113.0,0,0,2,2,2
338,7,1621,2,440,1208,1621,2,8,1984,1998,1984.0,0.0,0,0,2,2,2
339,6,1215,1,297,1215,1215,1,6,1958,1998,1958.0,176.0,0,4,3,3,3
340,8,1908,2,431,967,993,2,9,2002,2002,2002.0,0.0,0,0,2,2,2
341,4,841,1,294,721,841,1,4,1950,1950,1950.0,0.0,0,2,3,3,1
342,3,1040,2,400,0,1040,2,6,1949,1950,1949.0,340.0,0,1,-1,3,3
343,9,1684,2,564,1684,1684,2,6,2005,2005,2005.0,616.0,1,0,0,0,0
344,5,1112,1,336,536,536,1,4,1976,1976,1976.0,0.0,0,4,2,3,3
345,6,1577,1,312,972,972,1,6,1939,1950,1939.0,0.0,1,2,3,1,3
346,6,958,1,301,958,958,1,5,1960,1998,1960.0,0.0,0,4,3,3,3
347,6,1478,2,498,1478,1478,2,6,1960,1960,1960.0,30.0,2,0,3,3,3
348,7,1626,2,474,764,764,2,6,2003,2004,2003.0,106.0,0,0,2,2,2
349,9,2728,3,706,1848,1848,2,10,2005,2006,2006.0,870.0,2,0,0,0,0
350,9,1869,2,617,1869,1869,2,6,2007,2007,2007.0,362.0,1,0,0,0,0
351,7,1453,2,445,1453,1453,1,6,1986,1986,1986.0,0.0,1,2,2,2,3
352,5,1111,1,200,616,616,1,5,1941,1950,1941.0,0.0,0,4,3,3,3
353,6,720,2,484,624,720,1,5,1928,2003,2005.0,0.0,0,2,3,3,3
354,6,1595,1,240,940,1192,1,6,1940,2000,1940.0,0.0,2,0,3,3,3
355,6,1200,2,521,1200,1200,2,6,1995,1995,1995.0,0.0,0,0,2,2,2
356,6,1167,2,400,1158,1167,2,6,1992,1992,1992.0,106.0,0,2,2,2,3
357,5,1142,2,528,1142,1142,1,6,1976,1976,1976.0,0.0,1,4,2,3,3
358,5,1352,1,288,1062,1352,1,6,1958,1958,1958.0,120.0,0,0,3,2,3
359,8,1924,2,592,1086,1086,2,7,1998,1998,1998.0,530.0,1,0,2,2,2
360,6,912,2,470,888,912,1,5,1978,1978,1978.0,0.0,1,0,2,3,3
361,5,1505,1,240,883,988,1,8,1940,1982,1940.0,0.0,0,2,3,3,3
362,7,1922,2,672,0,495,3,7,2003,2003,2003.0,500.0,1,0,-1,2,2
363,6,987,1,264,483,483,1,5,1972,2007,1972.0,510.0,0,2,3,2,3
364,6,1574,2,566,796,790,2,6,1976,1976,1976.0,120.0,1,4,2,3,3
365,5,1344,1,468,672,672,1,6,1920,1997,1964.0,0.0,0,2,3,3,3
366,6,1394,2,514,1394,1394,1,6,1963,1963,1963.0,247.0,2,2,2,3,3
367,6,1431,1,296,1099,1431,1,6,1962,1962,1962.0,305.0,1,2,2,3,3
368,5,1268,1,244,1268,1268,1,7,1954,1954,1954.0,200.0,1,2,3,3,3
369,5,1287,2,576,1063,1287,1,7,1959,2006,1997.0,0.0,1,0,3,2,3
370,6,1664,2,460,953,953,2,7,2000,2000,2000.0,0.0,1,0,2,3,3
371,4,1588,2,680,0,1120,2,7,1959,1959,1991.0,0.0,1,4,-1,3,3
372,6,752,1,264,744,752,1,4,1984,1984,1984.0,0.0,0,4,2,3,3
373,5,1319,1,270,608,1319,1,5,1953,1953,1953.0,0.0,0,4,3,3,3
374,7,1928,2,434,847,847,2,8,2003,2004,2003.0,0.0,1,0,2,2,2
375,1,904,0,0,683,904,0,4,1922,1950,,0.0,0,2,1,1,1
376,5,914,2,576,870,914,1,5,1996,1996,1998.0,0.0,0,0,2,3,2
377,8,2466,2,610,1580,1580,3,8,2004,2005,2004.0,0.0,1,0,2,2,2
378,9,1856,3,834,1856,1856,1,8,2010,2010,2010.0,350.0,1,0,0,0,2
379,6,1800,2,463,982,1007,2,7,2000,2000,2000.0,16.0,1,0,2,3,3
380,5,1691,1,308,1026,1026,2,6,1924,1950,1924.0,0.0,1,4,3,2,3
381,7,1301,2,572,1293,1301,2,5,2006,2006,2006.0,0.0,1,0,2,2,2
382,7,1797,2,639,939,939,2,8,2006,2006,2006.0,0.0,0,0,2,2,2
383,6,784,2,360,784,784,1,5,1928,1950,1950.0,0.0,0,4,1,3,3
384,6,1953,2,501,1580,1079,2,9,1992,1992,1992.0,0.0,2,0,2,2,2
385,8,1269,2,430,1256,1269,2,6,2004,2005,2004.0,16.0,1,0,2,2,2
386,5,1184,0,0,658,658,1,8,1910,1996,,0.0,0,4,3,3,3
387,6,1125,1,352,1041,1125,1,6,1976,1976,1977.0,255.0,1,0,3,3,3
388,7,1479,2,577,1468,1479,2,6,1999,2000,1999.0,125.0,0,0,2,2,2
389,10,2332,3,846,1682,1742,2,9,2007,2008,2008.0,272.0,1,0,0,0,0
390,5,1367,1,384,861,961,1,7,1900,1950,1978.0,0.0,0,0,3,3,3
391,6,1961,2,560,804,804,2,7,2001,2002,2001.0,0.0,1,0,0,2,3
392,5,882,1,294,0,882,1,5,1959,1959,1959.0,0.0,0,4,-1,3,3
393,4,788,0,0,788,788,1,4,1941,1950,,0.0,2,4,3,3,3
394,5,1034,1,240,735,735,1,5,1940,1950,1940.0,0.0,0,2,3,3,3
395,5,1144,1,596,1144,1144,1,6,1956,1956,1956.0,0.0,0,4,3,3,3
396,5,894,2,600,894,894,1,6,1972,1972,1985.0,0.0,0,4,3,3,3
397,5,1812,1,264,864,876,2,8,1962,1962,1962.0,288.0,1,4,3,3,3
398,5,1077,1,338,961,1077,1,6,1920,1950,1920.0,0.0,0,2,1,3,3
399,7,1550,2,438,1092,1112,2,7,2006,2007,2007.0,100.0,0,0,2,2,2
400,8,1288,2,500,1260,1288,1,4,1996,1996,1996.0,0.0,2,0,2,0,2
401,7,1310,2,400,1310,1310,2,6,2005,2005,2005.0,0.0,1,0,2,2,2
402,5,672,1,240,672,672,1,4,1940,1997,1940.0,0.0,0,0,3,3,3
403,8,2263,2,420,1141,1165,2,10,1998,1998,1998.0,650.0,1,2,2,2,2
404,6,1572,2,373,806,806,2,7,1995,1996,1995.0,0.0,1,2,2,3,3
405,4,1620,2,490,1281,1620,2,8,1976,1993,1993.0,0.0,1,0,3,3,3
406,6,1639,1,240,1064,1166,1,6,1936,1950,1936.0,0.0,0,0,3,3,3
407,6,1680,1,308,840,840,2,8,1915,1976,1960.0,0.0,0,0,2,3,3
408,7,2172,3,947,1063,1071,2,9,2006,2006,2006.0,350.0,1,0,0,2,2
409,8,2078,3,836,1034,1050,2,8,2007,2008,2008.0,100.0,1,0,0,0,2
410,5,1276,1,350,1276,1276,1,5,1958,1958,1958.0,0.0,0,4,3,3,3
411,5,1056,2,572,1056,1056,1,5,1955,1955,1955.0,0.0,0,4,3,3,3
412,7,1478,2,484,1470,1478,2,7,2009,2009,2009.0,432.0,1,0,0,2,0
413,5,1028,2,360,1008,1028,1,5,1927,1950,1927.0,0.0,1,2,3,3,3
414,7,2097,3,678,1080,1080,2,9,1993,1993,1993.0,0.0,1,0,2,2,2
415,7,1340,2,396,1340,1340,2,6,2007,2007,2007.0,0.0,0,0,2,2,2
416,6,1400,2,440,672,672,1,6,1978,1978,1978.0,203.0,1,4,3,3,3
417,6,2624,3,864,1370,1370,2,10,1918,1950,1918.0,0.0,1,4,2,3,3
418,5,1134,1,240,756,756,1,7,1940,1950,1940.0,0.0,0,1,3,3,3
419,5,1056,1,304,1056,1056,1,6,1968,1968,1968.0,0.0,1,0,3,3,3
420,7,1344,4,784,1344,1344,2,8,1997,1998,1997.0,200.0,0,0,2,3,3
421,6,1602,2,529,1602,1602,2,8,1977,2000,1977.0,126.0,1,2,2,2,2
422,5,988,2,520,988,988,1,4,1954,1954,1954.0,0.0,0,0,3,3,3
423,8,2630,3,696,1470,1470,2,8,1998,1998,1998.0,473.0,1,2,2,2,2
424,6,1196,1,297,1196,1196,1,6,1956,1956,1956.0,74.0,1,2,2,3,3
425,7,1389,1,240,651,707,1,6,1946,1992,1947.0,0.0,2,2,3,3,3
426,7,1644,2,569,1518,1644,2,5,1989,1989,1989.0,145.0,1,2,2,2,2
427,4,907,1,352,907,907,1,5,1957,1957,1964.0,0.0,0,0,3,3,3
428,7,1208,2,628,1208,1208,2,6,2007,2007,2007.0,108.0,0,0,2,2,2
429,6,1412,2,576,1392,1412,2,6,1988,1988,1988.0,0.0,1,4,2,2,3
430,6,987,1,264,483,483,1,4,1971,1971,1971.0,232.0,0,4,3,3,3
431,6,1198,0,0,901,1088,1,7,1920,1998,,0.0,0,2,3,3,3
432,5,1365,2,440,765,765,1,6,1971,1971,1971.0,376.0,0,0,3,3,3
433,6,1604,2,470,926,926,2,7,1997,1998,1997.0,0.0,1,0,2,3,3
434,4,630,0,0,630,630,1,3,1972,1972,,0.0,0,2,2,3,3
435,7,1661,2,550,799,827,2,6,1996,1996,1996.0,0.0,1,0,2,2,2
436,6,1118,2,440,648,734,1,6,1920,1950,1990.0,0.0,0,4,1,3,3
437,6,904,1,180,884,904,1,4,1926,2004,1926.0,0.0,0,2,3,3,2
438,5,694,1,352,440,694,1,4,1913,2002,1990.0,0.0,1,4,3,2,3
439,6,1196,2,528,684,684,1,7,1920,2000,2005.0,0.0,0,2,3,2,3
440,10,2402,3,672,3094,2402,2,10,2008,2008,2008.0,200.0,2,0,0,0,0
441,4,1440,0,0,1440,1440,2,8,1955,1955,,270.0,0,4,3,1,3
442,5,1573,2,360,1078,1128,2,8,1930,1992,1930.0,0.0,1,4,3,3,3
443,7,1258,3,648,1258,1258,2,6,2006,2007,2007.0,72.0,1,0,0,2,2
444,7,1908,2,493,915,933,2,8,1994,1995,1994.0,0.0,1,0,2,2,2
445,6,1689,2,480,1436,1689,1,7,1956,1956,1956.0,0.0,1,1,3,3,3
446,6,1888,2,578,1517,1888,2,6,1966,2002,1966.0,0.0,1,0,3,2,2
447,7,1886,2,431,930,956,2,10,1998,1999,1998.0,0.0,1,2,2,2,2
448,6,1376,1,198,780,780,2,7,1937,1950,1937.0,0.0,1,4,3,3,3
449,3,1183,1,308,649,679,1,6,1948,2002,1981.0,0.0,0,0,3,3,3
450,6,813,1,270,813,813,1,5,1930,2005,1932.0,0.0,0,0,3,2,3
451,7,1533,2,576,1533,1533,2,5,1975,1975,1975.0,0.0,2,4,2,2,3
452,6,1756,2,422,872,888,2,7,1996,1997,1996.0,42.0,0,0,0,3,2
453,8,1590,2,676,768,786,2,6,2008,2008,2008.0,0.0,0,0,2,2,2
454,5,1728,2,560,1728,1728,2,8,1976,1976,1976.0,0.0,0,4,3,3,3
455,7,1242,2,528,1242,1242,1,6,1973,1973,1973.0,320.0,1,1,3,3,3
456,5,1344,3,513,624,624,1,7,1916,1950,1916.0,0.0,0,1,3,3,3
457,4,1663,2,529,1364,1663,1,6,1954,1994,1954.0,0.0,2,0,2,2,3
458,8,1666,1,228,588,833,1,7,1925,1996,1925.0,0.0,1,1,3,2,3
459,5,1203,1,352,709,979,1,5,1950,1950,1950.0,161.0,1,4,3,2,3
460,8,1935,2,552,832,832,2,8,2009,2009,2009.0,110.0,0,0,2,3,2
461,7,1135,2,576,560,575,1,6,1936,2007,1971.0,0.0,0,0,2,2,2
462,5,864,1,360,864,864,1,5,1965,1965,1965.0,0.0,1,2,3,3,3
463,6,1660,1,240,715,849,1,6,1934,1995,1939.0,0.0,1,1,3,3,3
464,5,1040,0,0,1040,1040,2,5,1978,1978,,136.0,0,4,2,3,3
465,7,1414,2,398,1375,1414,2,6,2004,2004,2004.0,18.0,1,0,2,2,2
466,7,1277,2,526,1277,1277,1,5,1970,1970,1970.0,0.0,1,4,3,3,3
467,5,1644,1,312,728,888,1,7,1942,1995,1942.0,224.0,2,0,3,2,3
468,8,1634,3,866,1626,1634,2,7,2006,2006,2006.0,248.0,1,0,2,2,2
469,6,1710,2,506,832,832,2,7,1993,1993,1993.0,120.0,0,0,2,2,2
470,8,1502,2,528,1488,1502,1,4,1985,1985,1985.0,0.0,0,4,2,2,2
471,7,1969,2,534,808,1161,2,8,1977,1977,1977.0,0.0,1,4,2,3,3
472,6,1072,2,525,547,1072,1,5,2005,2005,2005.0,80.0,0,0,2,3,3
473,8,1976,3,908,1976,1976,2,7,2006,2007,2006.0,304.0,1,0,0,2,2
474,8,1652,2,499,1494,1652,2,6,2000,2000,2000.0,0.0,0,0,2,0,2
475,5,970,2,624,970,970,1,5,1963,1963,1996.0,0.0,0,4,3,3,3
476,6,1493,2,508,1478,1493,2,7,1997,1998,1997.0,215.0,1,0,2,2,3
477,9,2643,3,694,2153,2069,2,9,2006,2006,2006.0,772.0,1,0,2,0,0
478,8,1718,3,826,1705,1718,2,7,2007,2008,2007.0,336.0,1,0,0,2,2
479,4,1131,2,672,907,1131,1,7,1937,2000,1995.0,435.0,0,4,1,3,3
480,9,1850,3,772,1833,1850,2,8,2004,2005,2004.0,378.0,1,0,0,2,2
481,9,1792,3,874,1792,1792,2,6,2003,2004,2003.0,562.0,1,0,0,0,2
482,7,1826,1,164,910,916,1,7,1915,2005,1915.0,0.0,1,0,3,0,2
483,6,1216,2,402,1216,1216,2,5,1998,1998,1998.0,116.0,0,0,0,3,3
484,5,999,1,264,999,999,1,6,1962,2001,1963.0,0.0,0,2,3,2,3
485,5,1113,1,264,1113,1113,1,5,1950,2007,1950.0,0.0,1,2,3,2,2
486,5,1073,2,515,1073,1073,1,6,1965,1965,1965.0,168.0,0,4,3,3,3
487,5,1484,2,487,1484,1484,2,7,1971,1971,1971.0,0.0,1,2,2,3,3
488,5,2414,2,520,954,1766,2,10,1900,1970,1970.0,0.0,1,4,3,3,3
489,4,630,1,286,630,630,1,3,1970,2002,1970.0,0.0,0,4,2,2,3
490,5,1304,1,336,264,616,1,4,1976,1976,1976.0,0.0,1,4,2,3,3
491,6,1578,1,240,806,958,1,5,1941,1950,1941.0,0.0,2,4,3,1,3
492,6,1456,2,429,728,728,2,8,2006,2006,2006.0,0.0,0,2,2,3,2
493,5,1269,1,308,1269,1269,1,6,1960,1960,1964.0,0.0,1,4,3,3,3
494,5,886,1,273,190,886,1,4,1938,1996,1938.0,0.0,0,2,1,3,3
495,4,720,0,0,720,720,1,4,1920,1950,,0.0,0,4,3,3,3
496,8,3228,2,546,3200,3228,3,10,1992,1993,1992.0,0.0,1,0,2,2,2
497,7,1820,1,240,1026,1133,2,8,1925,1950,1925.0,0.0,0,0,3,3,3
498,5,899,1,288,864,899,1,5,1967,2004,1967.0,89.0,0,0,3,2,3
499,5,912,1,297,912,912,1,5,1958,1985,1958.0,0.0,0,1,3,3,3
500,6,1218,1,264,672,672,1,7,1973,1973,1973.0,285.0,0,4,3,3,3
501,7,1768,2,603,866,866,2,7,2005,2005,2005.0,0.0,0,2,2,2,2
502,5,1214,2,461,1214,1214,1,6,1965,1965,1965.0,0.0,0,0,3,3,3
503,7,1801,2,484,1501,1801,2,6,1959,1997,1959.0,0.0,2,4,3,3,3
504,6,1322,2,440,855,855,2,6,1974,1974,1974.0,0.0,1,4,3,3,3
505,5,1960,2,400,960,960,2,10,1952,1952,1952.0,360.0,0,2,3,3,3
506,8,1911,2,471,777,1065,2,8,1993,1994,1993.0,125.0,1,0,2,2,2
507,6,1218,2,676,1218,1218,2,4,2009,2009,2009.0,0.0,0,0,2,2,2
508,7,1378,2,360,689,689,2,7,1928,2005,1928.0,0.0,1,0,3,2,3
509,5,1041,1,270,1041,1041,1,6,1959,1959,1959.0,132.0,0,0,3,3,3
510,5,1363,1,288,1008,1363,1,6,1951,2000,1951.0,70.0,2,0,3,3,2
511,7,1368,2,474,1368,1368,2,6,2005,2006,2005.0,94.0,1,0,2,2,2
512,5,864,2,624,864,864,1,5,1958,1958,1964.0,0.0,0,4,3,3,3
513,6,1080,2,484,1084,1080,1,5,1983,1983,1983.0,0.0,0,4,3,3,3
514,5,789,1,200,768,789,1,5,1926,1950,1926.0,0.0,0,1,3,3,3
515,10,2020,3,900,2006,2020,2,9,2009,2009,2009.0,305.0,1,0,0,0,0
516,6,2119,2,583,689,1378,2,7,1972,1972,1972.0,333.0,1,4,3,3,3
517,7,2344,3,889,1264,1277,2,7,1996,1997,1996.0,921.0,1,0,2,2,2
518,6,1796,2,546,794,882,2,7,1998,1998,1998.0,0.0,0,0,2,3,3
519,7,2080,1,282,1276,1276,1,9,1926,2004,1926.0,0.0,2,0,2,2,2
520,4,1294,0,0,0,694,2,7,1900,2000,,0.0,0,4,-1,3,3
521,6,1244,1,336,1244,1244,1,6,1957,1957,1957.0,0.0,2,0,3,3,3
522,6,1664,2,420,1004,1004,2,7,1947,1950,1950.0,0.0,2,0,3,3,3
523,10,4676,3,884,3138,3138,3,11,2007,2008,2007.0,762.0,1,0,0,0,0
524,7,2398,3,834,1379,1383,2,8,1996,1997,1996.0,594.0,1,0,2,2,2
525,7,1266,2,453,1257,1266,2,6,2005,2005,2005.0,0.0,1,0,2,2,2
526,5,928,1,252,928,928,1,4,1956,2000,1956.0,0.0,0,4,2,3,3
527,9,2713,3,858,1452,1476,2,11,2008,2008,2008.0,268.0,1,0,0,0,0
528,4,605,0,0,528,605,1,5,1920,2002,,0.0,0,0,3,3,3
529,6,2515,2,484,2035,2515,3,9,1957,1975,1975.0,,2,4,3,3,2
530,6,1509,2,600,1461,1509,2,5,1988,1989,1988.0,219.0,1,0,2,2,2
531,6,1362,2,502,611,751,2,6,1920,1999,1920.0,0.0,0,0,1,3,3
532,5,827,1,392,0,827,1,5,1955,2007,1967.0,0.0,1,0,-1,3,3
533,1,334,0,0,0,334,1,2,1946,1950,,0.0,0,1,-1,1,1
534,8,1414,2,403,707,707,2,6,2004,2004,2004.0,0.0,1,0,0,2,2
535,5,1347,0,0,1117,820,1,5,1910,1991,,0.0,0,4,2,3,3
536,7,1724,2,527,880,880,2,8,1998,1999,1998.0,0.0,0,0,2,2,3
537,4,864,2,576,864,864,1,5,1972,1972,1980.0,0.0,0,4,3,3,3
538,5,1159,1,336,1051,1159,1,7,1968,1968,1968.0,188.0,1,4,3,3,3
539,8,1601,2,670,1581,1601,2,6,2001,2002,2001.0,479.0,1,0,2,2,2
540,9,1838,3,765,1838,1838,2,8,2006,2006,2006.0,584.0,1,0,0,0,0
541,8,2285,3,648,969,997,2,8,2000,2000,2000.0,72.0,1,0,2,2,2
542,7,1680,2,583,1650,1680,2,7,1998,1999,1998.0,0.0,1,0,0,2,2
543,7,767,1,367,723,767,1,4,1998,1998,1998.0,182.0,0,0,2,3,3
544,7,1496,2,426,654,664,2,7,2006,2006,2006.0,0.0,1,0,2,2,2
545,7,2183,3,786,1204,1377,2,9,1988,1988,1988.0,178.0,0,2,2,2,2
546,6,1635,2,440,1065,915,1,6,1923,1950,1950.0,0.0,1,0,2,3,3
547,5,768,2,624,768,768,1,5,1970,1970,1987.0,0.0,0,0,2,3,3
548,5,825,2,720,825,825,1,4,1955,1995,1963.0,0.0,0,4,3,3,3
549,7,2094,2,615,912,912,2,8,2003,2004,2003.0,0.0,1,0,2,2,2
550,6,1069,2,440,1069,1069,2,4,1977,1977,1977.0,0.0,0,4,2,3,3
551,5,928,1,288,928,928,1,5,1957,1957,1957.0,0.0,0,2,3,3,3
552,8,1717,3,908,1709,1717,2,7,2006,2006,2006.0,250.0,1,0,0,2,2
553,4,1126,2,520,0,1126,2,5,1949,2003,2002.0,0.0,0,0,-1,2,3
554,7,2046,3,871,998,1006,2,8,2003,2004,2003.0,292.0,1,0,2,2,2
555,5,1048,1,280,993,1048,1,5,1922,1950,1922.0,0.0,1,4,3,3,3
556,5,1092,1,299,1092,1092,1,6,1957,1957,1957.0,0.0,1,4,3,3,3
557,4,1336,1,570,637,897,1,7,1920,1950,1994.0,0.0,0,2,3,3,3
558,7,1446,2,406,729,729,2,6,1996,1997,1996.0,0.0,1,0,2,3,3
559,7,1557,2,420,1374,1557,2,7,2003,2004,2003.0,18.0,1,0,2,2,2
560,5,1392,2,528,1392,1392,1,5,1957,1996,1957.0,180.0,1,4,2,3,3
561,5,1389,2,418,1389,1389,1,6,1974,1975,1975.0,0.0,1,2,2,3,3
562,5,996,0,0,996,996,1,6,1940,1969,,0.0,1,0,3,3,3
563,6,1674,2,396,1163,1163,2,8,1918,1950,1955.0,0.0,1,0,2,3,3
564,7,2295,2,590,1095,1166,2,9,1992,2000,1992.0,0.0,1,0,2,2,2
565,6,1647,1,216,806,841,1,6,1915,1950,1920.0,0.0,0,4,2,1,3
566,9,2504,3,656,1122,1134,2,11,2005,2007,2005.0,245.0,1,0,2,0,2
567,7,1535,2,532,1517,1535,2,7,2004,2004,2004.0,168.0,0,0,2,2,2
568,8,2132,2,612,1496,1496,1,5,1983,2009,1983.0,0.0,1,0,2,2,2
569,5,943,2,600,943,943,1,4,1979,1979,1979.0,0.0,2,4,2,3,3
570,5,1728,2,576,1728,1728,2,10,1965,1965,1987.0,108.0,0,4,3,3,3
571,6,864,1,288,864,864,1,4,1959,1959,1959.0,207.0,0,0,3,2,3
572,7,1692,2,650,846,846,2,6,2009,2009,2009.0,0.0,0,2,0,2,3
573,7,1430,2,400,384,774,2,8,2000,2000,2000.0,0.0,1,0,2,3,3
574,5,1109,1,288,372,576,1,5,1971,2005,1971.0,82.0,0,4,3,3,3
575,5,1216,1,336,832,832,1,6,1947,1950,1947.0,0.0,0,4,3,3,3
576,7,1477,1,216,861,877,2,6,1928,1950,1928.0,0.0,1,2,3,3,3
577,5,1320,2,564,1164,1320,1,6,1966,1966,1966.0,97.0,2,0,3,3,3
578,7,1392,2,540,689,703,2,5,2007,2007,2007.0,0.0,0,0,2,2,2
579,5,1795,1,352,1050,1050,2,7,1954,1954,1954.0,335.0,0,0,3,3,3
580,6,1429,2,572,1144,1429,1,7,1960,1987,1960.0,85.0,2,0,3,2,3
581,8,2042,3,1390,2042,2042,2,8,2008,2009,2009.0,306.0,1,0,0,0,0
582,6,816,0,0,816,816,1,5,1990,1990,,104.0,0,4,2,3,3
583,10,2775,2,880,1237,1521,3,9,1893,2000,1988.0,0.0,1,2,3,2,0
584,4,1573,1,240,884,989,1,6,1935,1995,1935.0,0.0,0,0,3,2,3
585,8,2028,3,880,1868,2028,2,7,2005,2006,2005.0,208.0,2,0,0,2,2
586,6,838,1,275,816,838,1,5,1918,2000,1961.0,0.0,0,0,3,1,3
587,5,860,2,528,840,860,1,4,1982,1982,1996.0,0.0,0,4,3,3,3
588,5,1473,1,452,1437,1473,1,5,1968,2003,1968.0,0.0,2,0,3,0,3
589,5,935,1,308,742,779,1,4,1930,1960,1988.0,0.0,0,4,3,3,3
590,7,1582,2,520,770,770,2,6,2004,2004,2004.0,0.0,0,0,2,2,2
591,10,2296,3,842,1722,1728,2,10,2008,2008,2008.0,420.0,1,0,0,0,0
592,5,816,2,816,816,816,1,4,1982,2003,1985.0,0.0,0,0,3,3,3
593,6,848,2,420,848,848,1,4,2003,2003,2003.0,170.0,0,0,2,2,2
594,5,924,1,280,924,924,1,5,1975,1975,1981.0,0.0,0,4,2,3,3
595,8,1826,3,758,1814,1826,2,7,2005,2006,2005.0,238.0,1,0,2,2,2
596,6,1368,1,216,684,684,1,7,1910,1993,1930.0,0.0,0,0,3,3,3
597,7,1402,3,648,1258,1402,0,7,2006,2007,2006.0,72.0,1,0,0,2,2
598,5,1647,2,621,1430,1647,2,7,1977,1977,1977.0,459.0,1,0,2,2,3
599,6,1556,2,452,716,716,2,6,1980,1980,1980.0,0.0,1,4,2,3,3
600,8,1904,2,736,1058,1058,2,8,2005,2005,2003.0,280.0,1,0,2,0,2
601,6,1375,1,544,780,780,1,6,1937,1950,1979.0,0.0,1,4,3,2,3
602,8,1915,2,506,908,927,2,8,1992,1992,1992.0,0.0,1,0,2,2,2
603,7,1200,2,480,600,600,2,4,2004,2005,2004.0,0.0,0,0,2,2,2
604,7,1494,2,530,1494,1494,2,6,2002,2002,2002.0,99.0,1,0,2,2,2
605,7,1986,2,486,768,1186,2,7,1965,1990,1965.0,176.0,3,4,3,3,3
606,5,1040,2,576,1040,1040,1,6,1996,1996,2000.0,0.0,0,2,2,2,3
607,5,2008,1,230,896,1112,3,8,1948,2002,1948.0,0.0,0,0,3,0,3
608,8,3194,2,380,965,1940,2,10,1934,1998,1934.0,0.0,2,4,2,3,3
609,4,1029,1,261,1029,1029,1,5,1961,1961,1961.0,192.0,0,2,3,3,3
610,9,2153,3,736,1440,1476,2,8,2000,2000,2000.0,204.0,2,0,0,0,2
611,6,1032,2,564,1032,1032,2,6,1978,1978,1978.0,233.0,1,4,2,3,3
612,8,1872,2,531,1299,1299,2,7,2001,2001,2001.0,108.0,1,0,2,0,2
613,5,1120,0,0,1120,1120,1,6,2007,2007,,0.0,0,0,2,3,3
614,4,630,0,0,630,630,1,3,1972,1972,,0.0,0,0,2,3,3
615,6,1054,2,480,936,1054,1,6,1963,1963,1963.0,156.0,0,0,3,2,3
616,6,1509,2,393,783,807,2,7,2002,2003,2002.0,0.0,1,0,2,2,2
